"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/29/2021 8 a.m. PDT",4284,9382,853,609,42,5008,598,2279
CAL,"5/29/2021 9 a.m. PDT",4237,11434,823,602,41,4931,599,2278
CAL,"5/29/2021 10 a.m. PDT",4019,12419,490,584,41,5362,602,2279
CAL,"5/29/2021 11 a.m. PDT",3482,13096,359,592,39,5230,604,2279
CAL,"5/29/2021 12 p.m. PDT",3408,13446,354,598,40,5178,605,2278
CAL,"5/29/2021 1 p.m. PDT",3624,13678,324,605,40,5146,597,2276
CAL,"5/29/2021 2 p.m. PDT",4020,13646,376,604,40,5279,602,2277
CAL,"5/29/2021 3 p.m. PDT",4306,13495,570,556,39,5501,602,2279
CAL,"5/29/2021 4 p.m. PDT",4497,12965,653,578,39,6193,613,2277
CAL,"5/29/2021 5 p.m. PDT",4682,11637,1043,570,39,7118,618,2277
CAL,"5/29/2021 6 p.m. PDT",4809,8511,2008,622,39,7625,638,2278
CAL,"5/29/2021 7 p.m. PDT",5191,2807,3284,738,38,8021,690,2278
CAL,"5/29/2021 8 p.m. PDT",5239,110,3846,738,38,9657,762,2277
CAL,"5/29/2021 9 p.m. PDT",5423,15,3464,750,37,9588,815,2278
CAL,"5/29/2021 10 p.m. PDT",5486,19,2989,812,48,9350,819,2277
CAL,"5/29/2021 11 p.m. PDT",5357,17,2228,864,75,8606,800,2275
CAL,"5/30/2021 12 a.m. PDT",5002,18,1871,953,88,8084,761,2275
CAL,"5/30/2021 1 a.m. PDT",4883,1162,1670,814,88,7647,708,2278
CAL,"5/30/2021 2 a.m. PDT",4602,17,1611,756,87,7001,674,2277
CAL,"5/30/2021 3 a.m. PDT",4066,16,1456,686,83,6975,637,2277
CAL,"5/30/2021 4 a.m. PDT",3681,16,1495,722,82,6890,612,2278
CAL,"5/30/2021 5 a.m. PDT",3344,16,1555,702,83,6864,613,2278
CAL,"5/30/2021 6 a.m. PDT",3079,596,1858,816,83,6177,612,2277
CAL,"5/30/2021 7 a.m. PDT",2403,5546,1161,805,83,5521,607,2278
CAL,"5/30/2021 8 a.m. PDT",1916,10334,864,638,83,4792,605,2278
CAL,"5/30/2021 9 a.m. PDT",1368,12361,863,601,83,4804,605,2281
CAL,"5/30/2021 10 a.m. PDT",970,13023,848,594,74,4689,606,2278
CAL,"5/30/2021 11 a.m. PDT",1021,13711,698,598,83,4867,607,2280
CAL,"5/30/2021 12 p.m. PDT",1021,13763,686,588,83,4678,606,2279
CAL,"5/30/2021 1 p.m. PDT",1154,13956,710,587,82,4665,605,2279
CAL,"5/30/2021 2 p.m. PDT",1136,13833,883,644,82,5053,606,2278
CAL,"5/30/2021 3 p.m. PDT",2187,13395,1058,634,82,5410,609,2280
CAL,"5/30/2021 4 p.m. PDT",3363,12163,1148,634,81,6041,611,2282
CAL,"5/30/2021 5 p.m. PDT",3430,11137,1775,569,82,7014,619,2280
